task_code,phraseid_1,phrase_1,phraseid_2,phrase_2,phraseid_3,phrase_3,phraseid_4,phrase_4,phraseid_5,phrase_5,phraseid_6,phrase_6,phraseid_7,phrase_7,phraseid_8,phrase_8,phraseid_9,phrase_9,phraseid_10,phrase_10,phraseid_11,phrase_11,phraseid_12,phrase_12,phraseid_13,phrase_13,phraseid_14,phrase_14,phraseid_15,phrase_15,phraseid_16,phrase_16,phraseid_17,phrase_17,phraseid_18,phrase_18,phraseid_19,phrase_19,phraseid_20,phrase_20
sentiment,473,be comfortable,1690,was quite,631,good and just,3011,was n't defective,1235,Excellent value,1487,is just shame,1785,be too difficult,1032,and loves,1128,kinda interesting comfortable,1938,placed,73,irritated crap,1270,Do n't,553,incorrectly just,2533,and works,1198,was worth,833,the worst,2272,unbelievably and,2407,never the,1169,are cold,948,absolutely the
sentiment,3051,beautifully,1983,be smaller,402,sorry,1436,the strangest,510,super comfortable and,1689,invisible And,2744,soft and,253,annoying distracting,500,sleazy Gross,2548,and delicate,22,the was thicker,2336,still awesome,399,amazing for,1109,stiff breaks,1857,comfort amazing,410,great days,2187,honestly else,1858,uncomfortable the,83,loose uncomfortable,642,were still
sentiment,2090,tanks the,2485,all The,940,are deceiving,2535,the is generally,757,m pretty,1850,Very cheap,2874,is not like,1482,badly infected,2992,hard and still,1501,'m always,3043,Classic,912,The were super,1163,Way too,1407,is why hell,2016,problems the,2286,are actually ugly,861,loose where,126,LIKE,1885,the shriek,2528,bad There
sentiment,1072,nt dissapointed,103,Do not,2577,as good,1586,and top,2289,do n't,1237,are useful,2466,is very pretty,1547,move,625,is very happy,513,very perfectly,2952,right and,412,super and,1652,swinging,1435,NOT smart,2987,first Good solid,1434,n't waste,1451,real once,1355,loose,391,is awesome,791,super fast
sentiment,3122,be perfectly good,1867,were super,899,free for,2102,be willing,831,were even Lucky,2768,UNABLE AND,40,poor and,332,joke Not,2320,n't hurt,2591,not thrilled,663,top and,1375,were just fine,1306,incredibly,830,is much straightforward,1836,is very soft,6,Then the,1024,not all,1124,super warm and,2237,even enough,869,NOT ALREADY
sentiment,2000,are fairly,740,worse problem,121,is backwards,239,am happy,132,not so,2429,damage,25,The is sleazy,294,is sturdy cute,3039,garbage,1754,atrocious when,1583,so perfect,2109,n't satisfied,1722,NOT BROKE,2761,Great great,1008,very cute,1612,sending,796,The Shock,1914,ago the,695,fit better,2406,Very small
sentiment,2263,n't fault,1236,is adjustable,267,are invisible And,2782,was right,365,problems,1788,maybe small,3110,are as,1525,perfect Comfortable,2930,together haphazard,1824,n't like The,647,not like,2705,suspect,1185,very soft,2690,merely uncomfortable,711,the bitter,2770,was sorely disappointed,2693,comfortable and really,315,Better,321,well and nice,196,shiny and flatter
sentiment,235,love awesome,692,Best,66,So more,1787,poorly and poorly,2062,perfect,1709,be cheaper,570,scratchy and somewhat,1154,'s fine,1401,JUNK,346,GOOD,1047,'m definitely,37,the TROUBLE,2285,comfortable and long,2706,more more,2947,Immediately the,1193,not like comfortable,2894,'m not picky,1876,durable,670,very soft right,972,lose more
sentiment,1502,is WAY,505,confusing,531,n't either,1054,absolutely work,2851,comfortable and hopefully,247,nice smoother,149,'s not well,56,the are very,627,'s always nice,1554,vastly improved,2070,are nice warm,3103,cheap really,1869,super and excellent,1467,ready for,2536,forever the,1383,are trendy,1810,available and happy,2717,'m normally,800,fit comfortable,2594,excellent
sentiment,2173,only not,2531,sadly returned,1800,nice but,817,rather uncomfortable,668,very bad,1141,The is also,259,nice shine,2895,sad,2469,Love !,2459,cheap flimsy,1160,the were too,2352,very durable great,449,m so irritated,16,the were loose,2637,also more,336,are ideal,1308,is confusing,1808,never modestly,2553,the rough,3105,Not even
sentiment,1334,loving !,1987,best And,1325,exactly thepicture(s,1475,are very good,1873,great and n't,1217,greedy enough,1307,like good,1290,Fast time,2764,Cute modern,2556,problem the,1580,like school,2472,'re good,674,delivered,2915,ripped the,2984,aching,2373,immediately the,966,were cute,1744,disappointed The,1897,was satisfied,1976,Here the
sentiment,1170,disappointed,615,is right,1910,comfortable appealing,589,returning,2281,the smell,2167,'re more comfortable,2103,not work,803,back the,136,n't fitting,585,works fine,1923,broken The,1394,love awesome comfort,1449,'m thrilled,123,suspect n't,2683,are fairly and nice,1645,was poor,2641,cringe and,2117,dust and accidentally,1311,lightly where,2040,was pretty flattering
sentiment,1083,soft works fine,1150,certainly NOT,91,'m literally,1781,Just perfect,2742,Very poor,177,comfortable Like,1935,Also sorry,2928,pretty !,982,ai nt genius,246,loser,991,Itchy not,1437,way,439,very happy,1669,there trash,930,Not correctly,1533,sturdy easy,2180,rolled,536,generous and,2004,are very dull,1370,pardon !
sentiment,1252,not worth the,1122,wonder,1213,well comfortable and,2562,as well,2916,Also the,3057,was sorely,874,at like,2096,is much comfortable,2203,stylish,1324,difficult in,325,is not soft,2493,work time,1365,am very hard,556,not worth,812,how comfy,1226,disappointed when,2960,am ever impressed,272,next the,1108,not at,485,pardon
sentiment,2426,is sleazy,1392,likes,2609,nightmare The,2607,definitely more,1063,odd the,2611,was Rockabilly,1784,Perfect for,1769,are smaller,312,saggy bust,2794,so better,3127,is top,576,The are too,1675,trauma,368,were hard and,767,The worn,1025,well and roomy,2061,cheap and Also,2745,cleaner and only,2091,was compact,1968,soft and just
sentiment,27,is definitely smart,2074,probably good,2898,was rather,64,is much,612,Nice wow,1794,very bulky,997,probably best,442,great and,1239,is great good,2658,is nice and,1272,bent and still,1889,well even,284,fit like,153,tough like,1775,cute flattering,1528,is not ugly,1694,and comfortable,521,is stiff,2252,quickly very,435,Soft comfy pretty
sentiment,430,not perfect,2183,are well and good,1724,nt small,852,fallen,400,'re super and roomy,2822,is definitely,2371,not cute,262,and luxurious,1875,was disappointing,2840,not returning,1009,excellent comfortable,3068,was so glad,2425,bust and,605,'s just cute,150,are NOT,174,be more satisfied,928,the hurt,1567,enough,2652,fine and,1995,clearly
sentiment,261,just as,2129,not ugly,438,enough support,2890,reliable watch,51,fair amount,2135,cute !,1052,and flexible,164,fine for,2015,pretty,1450,Poor,735,the was poor,3074,right right,2543,is already,2427,worked for,610,are wrongly,1623,comfortably the,69,the are hard,2449,'s outside,1448,'m avid and,958,comfort and unfortunately
sentiment,1432,durable and,1817,were comfortable,2278,The are either,1051,Itchy,1598,really flimsy,1015,'s comfortable,2208,the cold,2877,are well and,2955,fine but,965,n't tarnish,790,back Hopefully,871,am very pleased,2220,been durable and comfortable,1166,The concerned,2093,perfect and like,2732,ridiculously,3124,shine and more,1440,is great,1907,is inexpensive and,508,definitely there
sentiment,2725,is very good,1446,was very disappointed,1806,not love,667,be refunded,1721,been impressed,953,am comfortable,1630,the is n't,2356,great loves,2850,right and decent,225,not just,2340,Hot and,1022,and nicely,956,as well fun,1603,hard and,645,pain the,1902,however not,562,the pain,2698,are warm,970,back still,1963,worn especially
sentiment,2416,ugly n't,2554,n't enough the,1795,well and pretty,2558,'s very,1244,Small,155,wrong mistake,1477,really appreciate,2726,bad burn,2854,and sharp,741,WAY too,913,n't happier,3059,Comfy !,1075,and well,1483,Works for,633,be dissapointed,1204,am satisfied,2570,upset and When,1402,perfectly the,795,why hell,1638,and smooth
sentiment,58,grand,351,is technically,1050,comfortable and well,604,not flattering,3035,very there,2288,is hard,107,The horrible,1059,Thank for,2774,trash,2339,still comfortably,1161,very stiff,1821,am disappointed,2973,tank also,1210,still way,347,cleaner,1368,comfortable and reasonably,2240,bothersome,1863,vibrant,2038,the was not,613,affordable and
sentiment,1165,Loved bag,983,obviously expensive,2919,well and really,1319,be supportive,144,pushed,194,favorite But,2233,the swelling,804,very fast,2023,the is pretty,967,'re very warm,2201,ridiculous And,1939,are trendy cool,1814,hates falling,2795,turned,696,stiff not,2197,are available and,1257,are surprisingly,2646,was VERY,1666,been around,1826,be most consistent
sentiment,2671,are surprisingly comfortable,3021,support for,216,strange,577,WORST,2084,was ridiculously,2778,and pleased,263,are already,1886,inside there,1557,the was really,1697,comfortable supporting and,985,are not,1247,properly and very,2977,are comfortable well,436,fell,630,fit pretty,82,is not sexy,2802,so awkward,2471,work top,275,COMFORTABLE AND,34,not as
sentiment,646,flattering,2887,dull BLAH,2395,cloudy poorly,718,was barely,310,the is problem,1238,cleaner and,2490,was so excited,2524,oddest the,2950,love,2217,friendly,2118,and incredibly,2575,just return,730,loose and,1019,skinny ONLY,1748,Sent back,1315,right time,1385,the is about,1822,The undersized,2215,bent and,2483,being generous and
sentiment,2439,lovely,3002,hurt,2145,THE IS NOT,1339,problem before,2275,not enough the,2749,poor Dissapointed,2871,are cheapest,281,top and more,417,where stigma,2332,be nice,2056,was uncomfortable,467,not,3119,was upset and,713,so beautiful,2264,way good,356,well really,3018,and fine,2539,not well,666,the Worst,1405,loves !
sentiment,2222,cool but,1951,stiff and just,45,just too,2367,Secondly the,512,sexy good,43,where Died,2089,the is extremely,1726,is sturdy and cute,2386,are very durable,2253,am allergic and,2958,mistaken,1218,never disappointed,1462,hook back,2519,comfort and support,1241,n't even,1333,n't how,2166,Great,2104,so cheap,330,am normally,1692,is very uncomfortable
sentiment,2918,is weird,1096,Good and durable,2798,doubt and,1716,Not worth the,1418,cheap and not,1314,super soft,2739,stiff and never,2627,hot comfortably,1813,was n't correctly,1924,n't recommend,1678,liked work,563,at important,1219,better days,1811,n't work,1959,were Gold and,1098,is not flattering,938,concerns the,2122,is ridiculous And,2328,are trendy and,2940,lovely nice
sentiment,2229,happy and,3038,fast,1104,most flattering,2920,super the,1366,was great and,1417,'re super and,932,and cute,1300,whatsoever the,789,ever impressed works,2820,definitely disappointment,2072,mail back,764,the was disappointing,1353,'s so,3078,comfortable supporting reasonably,233,absolutely not,1740,is even comfortable,984,comfortable and good,2580,really well,655,and Sexy,2451,strangely
sentiment,1899,The are very,2191,NOT the,923,vastly simply,1711,worst,1796,bust,2232,fit awesome,2274,are scratchy,2450,the disappointing,2578,fell and,1443,shriek,1833,just not,1588,broke,2559,was not best,1397,Way,1068,'s cute,1575,now return,1730,is Totally,1156,pretty nice,1069,Overall just,3007,n't return
sentiment,2932,enjoy and also,1985,stiff and,2944,be quite happy,2848,clunky,1654,is super comfortable,919,so super,2811,Great glad,18,comfort support,293,still comfortable,1026,right,2810,is super,677,fairly comfortable,143,very the,2314,good enough,2465,are amazing,2803,was oversize,747,pretty sturdy,2385,comfort day,1627,was hugely,2708,was just bad
sentiment,1953,'S PRETTY AND,2925,cheap knock,337,quite cheap,1668,not pure,2885,are better,1292,is fraud,616,awesome comfortable and,737,good whit,2486,even the,2792,Here trick,2317,not exactly,2280,great support,1896,is sturdy and,1168,is very picky,1430,does NOT,348,anywhere the,1381,The was very,2279,and LOVES,1941,hates down,766,Definitely n't
sentiment,200,'m better,951,Cute Comfy Sexy,214,'s great,2634,perfect for,349,are beautiful and,198,very attractive comfortable,228,does not,2059,well and also,2626,not warm,2130,was great,1789,'s good and,1972,was nicely,2434,Unfortunately,1228,is exactly,213,was somehow,3112,is fine,904,MUCH SMALLER,794,well so,2781,interesting,2245,is beautiful soft
sentiment,1379,are just,1909,is always perfect,2994,Fine !,675,appreciate,529,was amazed,80,Not worth,1129,less interesting,2676,confusing How,1376,not terribly,2980,wonderful and good,2010,pretty sturdy and,2969,supportive and,2442,approve !,1044,be easier,2765,was limited,1042,the 's not,2899,outside inside,1990,hurt the,329,soft and comfortable,1727,expensive
sentiment,2505,and nice,2506,are loving,2120,is too,1445,happily likes,90,and fancy,1389,now the,26,very nicely,1506,awesome comfortable,2415,Smart for,3067,Not returning,524,sad when,1080,is shiny and,660,and ideal,1633,really great,2849,be safe and like,2046,clunky the,2144,difficult fully,981,n't there,1920,like and like,295,important good
sentiment,2663,pretty flattering,309,falling,1134,disappointing most,370,back Even,952,enough the,2140,The is super,2189,bargain Love,1356,AND ROOMY,1371,never back,2551,so flimsy,1207,liked work and,1541,and protective,1409,stiff never,1143,like but,2858,was way good,2248,doubt fear,853,great Like,2211,was cheap and,2053,Waste money,1126,madden
sentiment,2769,do not,2716,so super excited,2428,and perfectly,260,be durable,1481,the was so,2024,And pretty,1846,useful for,2806,n't why,809,really good polished,1519,impossible,1952,Very stiff,1676,comfortable good,573,always problems,2985,cool,2712,warm and like,2946,quite disappointed,2013,also work,1661,difficult,2866,is good,41,soft flexible
sentiment,1105,partner,2312,work Nice and,1639,tarnished and,1416,The are n't,1849,Not warm,1066,terribly,2445,Love love,2759,was when,1518,is really,2086,are scratchy and,244,is great and,1553,still nearly,2737,Perfect,2965,just apart,489,always liked work,2515,was very good,1521,ever so,2139,were inexpensive and,628,trendy comfy,1265,is least
sentiment,2521,itchy n't,2293,very often,2219,is soft and comfortable,1695,only thicker,2372,was hard,490,real durable,1664,and glad,1999,been heavily,367,is terrible,160,but,2731,Very very,2677,support and right,2213,not really,828,Really nice,221,n't oversize,264,always loved,145,the negative,763,are still comfortable,3071,am not pleased,2164,fits perfectly
sentiment,1194,unbelievable,3130,when the,1089,still likes,3116,was n't,99,nicely and,361,well the,1313,comfortable !,548,prompt refund,219,Decent and,1337,are not super,2494,are very comfortable,892,lost and now,501,very comfy stylish,582,are warm and,1221,roomy and,415,IS LIKE,1225,stylish and perfectly,488,hard still,2362,worn,1555,unpleasant
sentiment,2691,The is cheap,2488,away problem,3090,awkward,2216,as cheaply,2034,the cheaply,2513,are There,2065,was really,2330,issue,1045,the was itchy,1332,be well,1291,happy,2590,are very stylish,1649,poor,1303,was n't bad,1954,are EXTREMELY,1465,are fairly comfortable,1195,even top,173,great and really,2374,worse,1590,are nonsense and
sentiment,1871,just charm,350,quite the,2111,favorite for,990,cheap the,179,be fine,1491,again here,1879,super comfortable,2889,still together,1346,stiff,1843,cheap honestly,1214,cheap n't,1683,doubtful the,1731,the trash,2207,very comfortable well,1663,Very happy,1388,hard even,1877,are even,1411,nice and sexy,1276,and liked,784,is poorly and
sentiment,3010,really uncomfortable,2063,lengthwise the,2723,cheap Very,1178,is soft warm,572,smaller,1476,was uneven,2846,skinny and,1398,really first,1469,complain the,974,The is simply,2724,the are NOT,2784,Sadly returned,1587,excited,732,robust !,2856,super cute,1139,is not,1114,was smaller,1386,are definitely disappointment,1760,'re skinny,1642,am small
sentiment,939,is too expensive,1996,like top,2599,stiff the,1667,are available and happy,2809,is why,1942,was poor and,1679,Also small,3136,NOT LIKE THE,609,the limit,106,good inexpensive,2630,happy and so,2484,super excited,2697,Good solid,1888,were muddy and,847,nice Good and,813,not wise,2620,send back,1903,hell,186,shine but,2468,not happy
sentiment,237,incorrectly,2359,Good,2260,the is unbelievable,1039,there small,318,not better,455,so cute,203,really like,2817,been already,465,just uneven,13,so much,2964,were really cheap,328,is good and,2341,just boring,1277,the is uneven,1918,there The,597,cute and like,1780,are cheap and,608,are still comfortably,2100,excellent comfortable and,1377,n't straight
sentiment,765,the wrong,742,and super,3033,disappointing The,2824,low the,472,super but,1078,COMFORTABLE,603,still already,703,are bad,1561,is cute love,2363,fit right,1625,bitter,1351,and roomy,1153,great great and,1415,construction- likes,1900,are perfect helping,188,Great !,2933,are uncomfortable and,2409,really liked,1070,are so comfortable,1523,were cheap and
sentiment,2165,pain,1275,send,93,highly upset,459,are comfortable and good,2852,and pretty,924,mailed,2447,liked but,2358,The is half,296,not impressed,1680,never worn,1263,crappy and,1447,are awesome,1703,worn and,1097,sturdy and cute,3055,too So,1779,too so,3083,unfortunately,592,The is not,1127,top And,2094,straight the
sentiment,1061,not Really,2668,broke The,208,Definitely abuse,33,good and soft,2198,not bulky,2508,was small,1137,Smart,2292,warm but,1027,the is uncomfortable,665,allergic,2910,disappointing the,2702,do NOT,693,Definitely the,2644,work great,2661,attractive and,2853,been consistent,1478,good for,792,is unpleasant,2880,also the,1589,warm
sentiment,3058,lays,314,are tight,1595,n't love,722,Much better,3079,tight where,1799,are beautiful well,3060,just SOOOO,584,not where,2565,bitter cold,191,are losing,2194,IS BROKE,3037,off the,2255,Unfortunately when,753,Thus far,736,glare Very,3032,waste,2900,was return,1617,flawed,1809,very sexy,327,worn and not
sentiment,333,all over,2149,is unbelievably,2114,were like,1283,very either,1925,was fine,517,however very,1457,soft and fancy,476,near impossible,1728,buckle,746,Good and fast,131,already even,396,refund free,1880,are comfortable,1853,is returned,2861,heeled,624,was always great,621,long so,2440,tough for,238,weird the,1249,difficulty The
sentiment,2526,'s cute and,1524,not Also,12,back like,1340,The is poorly,2922,like and,3107,was very nice,1827,noticeably The,788,is small,2231,normally satisfied,1400,too far,709,Not too,389,is perfect and,166,did n't,2670,top cute,185,pretty the,2161,are sturdy,2921,so here,250,loves and,3086,is sexy,2157,and great
sentiment,617,awesome and,1758,pretty happy,2075,was n't available,770,also loved roomy,2324,LOVES !,1981,bad,2560,bum even,1841,are cute,678,are much,1701,and good,169,again Recommend,845,loved and,1991,is cheap,274,is not worth,1016,is like,1614,the are so,1982,was excited,1459,Died cheap,14,better !,1095,comfort and
sentiment,1860,However the,32,durable and great,1568,the was bad,1743,Decent and nice,941,saw,75,bothersome the,661,fit love,2709,'s here,2518,fairly comfortable and,172,like better,1717,was just,2364,hung,1770,pretty sturdy soft,486,The are wrongly,2030,'m returning,707,Does n't,3072,cold and,1344,more affordable,2786,not soft,2035,most comfortable
sentiment,1152,broke when,382,are stylish and,635,am not,1472,perfectly !,2836,was shiny,175,benefit for,2715,worth For,2771,satisfied,496,cheap and very,446,avid,1558,Immediately ripped,1028,is odd,1835,be very durable,2601,negative,1489,great but,1545,firmly the,900,issues,1967,Well,1653,well fun,2727,scratchy and
sentiment,2227,roomy perfect,2331,are durable and,1992,was totally,1620,So about,2246,like for,2842,crap not,1974,was so,474,are really cold,376,is also strange,1302,well and comfortable,1310,supportive and too,1650,is about,2741,Enjoy !,1682,best work,1471,too bulky,1591,not good,836,convenience and comfort,2071,cheap very,2414,'s bulky,1693,is definitely worth
sentiment,2775,CHEAP NOT,437,pull,152,joke,2912,are perfect,2695,'S VERY,1786,either Not,62,needless,543,the terrible,854,well likes,1043,was correct,700,was how,2522,slightly smaller,705,trendy and cool,2366,also return,270,Not The,2972,'s otherwise comfortable,2150,not adjustable,2754,exactly the,1295,Not good good,1947,are absolutely unwilling
sentiment,2174,the fell,1713,were really,3118,always perfect,1971,sleazy,1868,works marvelous better,2470,been near perfect,317,bust too,355,are hard,2679,are still happy,2418,Good value,541,dust accidentally,968,just here,3087,am allergic,1647,terrible the,1670,where the,30,Love love love,1686,'m really,1848,been hard,2464,AND WELL,1894,are dull
sentiment,906,super warm roomy,2579,is definitely poorly,834,WAY TOO,2941,totally love,3094,was pardon,2077,the poor,241,are trendy and comfy,2446,dull,113,warm and,116,is now,588,just cute,1358,swollen NOT,2989,The odd,3132,quite happy,146,the was incorrectly,959,was really soft,2632,else where,3081,were pretty,557,very great,3046,are available variety
sentiment,1425,already broken,1352,so like,2337,The is indeed,167,sad the,1883,then refuse,78,was properly,223,and flatter,2998,boring,1227,Not pleased,2953,hesitant,2455,really bad,1750,soft years,1956,break,918,the stigma,2615,hurt really,2819,lies,1570,Very too,372,Really nice sexy,1538,super fast and,1493,cute for
sentiment,3003,wound,1604,the broke,1504,much small,353,all Returned,717,works day,1486,smell n't,2713,securely and,2813,very cheap,1203,is nice,889,are small,1264,been worn,2736,flimsy Also,1404,Very warm,2492,works great,2983,Better support and,2226,really joke,1199,PERFECT,2511,dissapointed AND,2913,am not terribly,2212,is gold
sentiment,1855,The was awful,1488,be best,3108,favorite,1965,n't very,544,attractive and n't,1013,also dark,822,Frustrating,3064,so badly,1582,the hell,1384,complain too,2055,too hot comfortably,1940,undersized cheap,1905,dirt The,1171,bum,1912,comfortable and soft,59,always liked,1943,scratchy uncomfortable,724,fault The,2647,'re right,2083,WELL LIKE
