,eidx,aidx,pattern,phrase,TQBAFc_level,TQBAFc_base_score,TQBAFc_class,TQBAFc_strength,TQBAFc'_base_score,TQBAFc'_class,TQBAFc'_strength,BQBAFc_level,BQBAFc_base_score,BQBAFc_class,BQBAFc_strength,BQBAFc'_base_score,BQBAFc'_class,BQBAFc'_strength
169,16,57,"[['SPACY:POS-VERB'], ['SPACY:POS-PROPN'], ['SPACY:POS-PROPN']]",hear Netcollex Ltd,3,0.2513539217112251,Negative,0.2513539217112251,0.2513539217112251,Negative,0.2513539217112251,1,0.2513539217112251,Negative,0.22603781730953165,0.2513539217112251,Negative,0.22603781730953165
170,16,62,"[['LEMMA:to', 'SPACY:POS-ADP']]",to,2,0.5199640501080655,Negative,0.5199640501080655,0.5199640501080655,Negative,0.5199640501080655,1,0.5199640501080655,Negative,0.47818004330473085,0.5199640501080655,Negative,0.47818004330473085
171,16,69,"[['SPACY:POS-ADP'], ['SPACY:POS-PROPN']]",from Netcollex,2,0.20980082797821806,Negative,0.20980082797821806,0.20980082797821806,Negative,0.20980082797821806,1,0.20980082797821806,Negative,-0.003787675831937176,-0.20980082797821806,Positive,0.003787675831937176
172,16,72,[['SPACY:POS-ADP']],to,1,0.3925845646686396,Positive,0.14144790688585385,0.3925845646686396,Positive,0.14144790688585385,3,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396
173,16,75,"[['SPACY:POS-NOUN'], ['SPACY:POS-NOUN']]",08700621170150p msg,1,0.2856289210627021,Positive,0.3730238698214429,0.2856289210627021,Positive,0.3730238698214429,2,0.2856289210627021,Positive,0.2856289210627021,0.2856289210627021,Positive,0.2856289210627021
174,16,76,[['HYPERNYM:message.n.02']],reply,1,0.19380974620942865,Negative,-0.5865126675708814,-0.19380974620942865,Positive,0.5865126675708814,2,0.19380974620942865,Negative,0.19380974620942865,0.19380974620942865,Negative,0.19380974620942865
175,16,77,"[['SPACY:POS-NOUN'], ['HYPERNYM:message.n.02']]",08700621170150p reply,2,0.78032241378031,Positive,0.78032241378031,0.78032241378031,Positive,0.78032241378031,1,0.78032241378031,Positive,0.5865126675708814,0.78032241378031,Positive,0.5865126675708814
176,16,78,"[['SPACY:POS-PUNCT'], ['LEMMA:to']]",. to,2,0.5666891212015219,Positive,0.5666891212015219,0.5666891212015219,Positive,0.5666891212015219,1,0.5666891212015219,Positive,0.5103269868376966,0.5666891212015219,Positive,0.5103269868376966
177,16,86,"[['SPACY:POS-PUNCT'], ['SPACY:POS-NOUN']]",. Luv,1,0.5368741995176334,Negative,0.15890165589782773,0.5368741995176334,Negative,0.15890165589782773,2,0.5368741995176334,Negative,0.5368741995176334,0.5368741995176334,Negative,0.5368741995176334
178,16,88,[['LEMMA:to']],to,1,0.16908640309147593,Negative,-0.5056501839725625,-0.16908640309147593,Positive,0.5056501839725625,2,0.16908640309147593,Negative,0.16908640309147593,0.16908640309147593,Negative,0.16908640309147593
179,16,89,"[['SPACY:POS-PROPN'], ['SPACY:POS-NOUN'], ['SPACY:POS-NOUN']]",Netcollex 08700621170150p msg,3,0.1747898975174816,Positive,0.1747898975174816,0.1747898975174816,Positive,0.1747898975174816,1,0.1747898975174816,Positive,0.612790819586559,0.1747898975174816,Positive,0.612790819586559
180,16,90,[['HYPERNYM:communication.n.02']],reply,1,0.7838836930948891,Positive,0.7838836930948891,0.7838836930948891,Positive,0.7838836930948891,1,0.7838836930948891,Positive,0.7838836930948891,0.7838836930948891,Positive,0.7838836930948891
181,16,98,"[['LEMMA:.'], ['SPACY:POS-NOUN']]",. Luv,2,0.37797254361980565,Positive,0.37797254361980565,0.37797254361980565,Positive,0.37797254361980565,1,0.37797254361980565,Positive,-0.15890165589782773,-0.37797254361980565,Negative,0.15890165589782773
182,16,99,"[['SPACY:POS-NOUN'], ['SPACY:POS-ADP']]",Luv from,2,0.3159002615306093,Positive,0.3159002615306093,0.3159002615306093,Positive,0.3159002615306093,1,0.3159002615306093,Positive,0.4140464026977692,0.3159002615306093,Positive,0.4140464026977692
184,17,10,[['SPACY:POS-PROPN']],K,1,0.9235389011439626,Positive,0.79878535996904,0.9235389011439626,Positive,0.79878535996904,3,0.9235389011439626,Positive,0.9235389011439626,0.9235389011439626,Positive,0.9235389011439626
185,17,18,"[['SPACY:POS-PROPN'], ['SPACY:POS-NOUN']]",K text,2,0.18930163936975522,Positive,0.18930163936975522,0.18930163936975522,Positive,0.18930163936975522,1,0.18930163936975522,Positive,0.6510710899417366,0.18930163936975522,Positive,0.6510710899417366
186,17,22,"[['SPACY:POS-PROPN'], ['SPACY:POS-PUNCT']]","K ,",2,0.4994166021573368,Negative,0.31405518054467785,0.4994166021573368,Negative,0.31405518054467785,2,0.4994166021573368,Negative,0.037647151585355476,0.4994166021573368,Negative,0.037647151585355476
187,17,49,"[['SPACY:POS-PROPN'], ['SPACY:POS-PUNCT'], ['SPACY:POS-NOUN']]","K , text",3,0.37072284322531784,Positive,0.37072284322531784,0.37072284322531784,Positive,0.37072284322531784,1,0.37072284322531784,Positive,-0.203798507877671,-0.37072284322531784,Negative,0.203798507877671
188,17,72,[['SPACY:POS-ADP']],on,1,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396,1,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396
189,17,86,"[['SPACY:POS-PUNCT'], ['SPACY:POS-NOUN']]",", text",1,0.5368741995176334,Negative,0.3515127779049745,0.5368741995176334,Negative,0.3515127779049745,2,0.5368741995176334,Negative,0.5368741995176334,0.5368741995176334,Negative,0.5368741995176334
191,18,10,[['SPACY:POS-PROPN']],yo,1,0.9235389011439626,Positive,0.22308345728416423,0.9235389011439626,Positive,0.22308345728416423,2,0.9235389011439626,Positive,0.9235389011439626,0.9235389011439626,Positive,0.9235389011439626
192,18,18,"[['SPACY:POS-PROPN'], ['SPACY:POS-NOUN']]",yo valentine,2,0.18930163936975522,Positive,0.18930163936975522,0.18930163936975522,Positive,0.18930163936975522,1,0.18930163936975522,Positive,0.3740094195985477,0.18930163936975522,Positive,0.3740094195985477
193,18,22,"[['SPACY:POS-PROPN'], ['SPACY:POS-PUNCT']]",yo ?,2,0.4994166021573368,Negative,0.4994166021573368,0.4994166021573368,Negative,0.4994166021573368,1,0.4994166021573368,Negative,0.31470882192854427,0.4994166021573368,Negative,0.31470882192854427
194,18,32,"[['SPACY:POS-VERB'], ['SPACY:POS-PROPN']]",planned yo,2,0.4947560564720762,Negative,0.4947560564720762,0.4947560564720762,Negative,0.4947560564720762,1,0.4947560564720762,Negative,0.3100482762432837,0.4947560564720762,Negative,0.3100482762432837
195,18,51,"[['SPACY:POS-ADJ'], ['SPACY:POS-PROPN']]",your yo,2,0.20931598938896842,Positive,0.20931598938896842,0.20931598938896842,Positive,0.20931598938896842,1,0.20931598938896842,Positive,0.394023769617761,0.20931598938896842,Positive,0.394023769617761
196,18,69,"[['SPACY:POS-ADP'], ['SPACY:POS-PROPN']]",for yo,2,0.20980082797821806,Negative,0.20980082797821806,0.20980082797821806,Negative,0.20980082797821806,1,0.20980082797821806,Negative,-0.367491516919214,-0.20980082797821806,Positive,0.367491516919214
197,18,72,[['SPACY:POS-ADP']],for,1,0.3925845646686396,Positive,0.28768415067953057,0.3925845646686396,Positive,0.28768415067953057,2,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396
198,18,86,"[['SPACY:POS-PUNCT'], ['SPACY:POS-NOUN']]",. what,1,0.5368741995176334,Negative,0.15890165589782773,0.5368741995176334,Negative,0.15890165589782773,2,0.5368741995176334,Negative,0.5368741995176334,0.5368741995176334,Negative,0.5368741995176334
199,18,98,"[['LEMMA:.'], ['SPACY:POS-NOUN']]",. what,2,0.37797254361980565,Positive,0.37797254361980565,0.37797254361980565,Positive,0.37797254361980565,1,0.37797254361980565,Positive,-0.15890165589782773,-0.37797254361980565,Negative,0.15890165589782773
201,19,75,"[['SPACY:POS-NOUN'], ['SPACY:POS-NOUN']]",matter mind,1,0.2856289210627021,Positive,0.2856289210627021,0.2856289210627021,Positive,0.2856289210627021,1,0.2856289210627021,Positive,0.2856289210627021,0.2856289210627021,Positive,0.2856289210627021
202,19,86,"[['SPACY:POS-PUNCT'], ['SPACY:POS-NOUN']]",. mind,1,0.5368741995176334,Negative,0.15890165589782773,0.5368741995176334,Negative,0.15890165589782773,2,0.5368741995176334,Negative,0.5368741995176334,0.5368741995176334,Negative,0.5368741995176334
203,19,98,"[['LEMMA:.'], ['SPACY:POS-NOUN']]",. mind,2,0.37797254361980565,Positive,0.37797254361980565,0.37797254361980565,Positive,0.37797254361980565,1,0.37797254361980565,Positive,-0.15890165589782773,-0.37797254361980565,Negative,0.15890165589782773
205,20,43,[['LEMMA:!']],!,1,1.1715219087204505,Positive,1.1715219087204505,1.1715219087204505,Positive,1.1715219087204505,1,1.1715219087204505,Positive,1.1715219087204505,1.1715219087204505,Positive,1.1715219087204505
206,20,72,[['SPACY:POS-ADP']],that,1,0.3925845646686396,Positive,0.7084848261992489,0.3925845646686396,Positive,0.7084848261992489,2,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396
207,20,75,"[['SPACY:POS-NOUN'], ['SPACY:POS-NOUN']]",well babe,1,0.2856289210627021,Positive,0.2856289210627021,0.2856289210627021,Positive,0.2856289210627021,1,0.2856289210627021,Positive,0.2856289210627021,0.2856289210627021,Positive,0.2856289210627021
208,20,86,"[['SPACY:POS-PUNCT'], ['SPACY:POS-NOUN']]",", love",1,0.5368741995176334,Negative,0.5368741995176334,0.5368741995176334,Negative,0.5368741995176334,1,0.5368741995176334,Negative,0.5368741995176334,0.5368741995176334,Negative,0.5368741995176334
209,20,99,"[['SPACY:POS-NOUN'], ['SPACY:POS-ADP']]",babe that,2,0.3159002615306093,Positive,0.3159002615306093,0.3159002615306093,Positive,0.3159002615306093,1,0.3159002615306093,Positive,0.7084848261992489,0.3159002615306093,Positive,0.7084848261992489
229,23,42,"[['SPACY:POS-NOUN'], ['LEMMA:to']]",what to,2,0.3680294909165491,Positive,0.3680294909165491,0.3680294909165491,Positive,0.3680294909165491,1,0.3680294909165491,Positive,0.19894308782507314,0.3680294909165491,Positive,0.19894308782507314
230,23,72,[['SPACY:POS-ADP']],of,1,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396,1,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396
231,23,75,"[['SPACY:POS-NOUN'], ['SPACY:POS-NOUN']]",bridgwater banter,1,0.2856289210627021,Positive,0.2856289210627021,0.2856289210627021,Positive,0.2856289210627021,1,0.2856289210627021,Positive,0.2856289210627021,0.2856289210627021,Positive,0.2856289210627021
232,23,76,[['HYPERNYM:message.n.02']],banter,1,0.19380974620942865,Negative,-0.5865126675708814,-0.19380974620942865,Positive,0.5865126675708814,2,0.19380974620942865,Negative,0.19380974620942865,0.19380974620942865,Negative,0.19380974620942865
233,23,77,"[['SPACY:POS-NOUN'], ['HYPERNYM:message.n.02']]",bridgwater banter,2,0.78032241378031,Positive,0.78032241378031,0.78032241378031,Positive,0.78032241378031,1,0.78032241378031,Positive,0.5865126675708814,0.78032241378031,Positive,0.5865126675708814
234,23,88,[['LEMMA:to']],to,1,0.16908640309147593,Negative,-0.19894308782507314,-0.16908640309147593,Positive,0.19894308782507314,2,0.16908640309147593,Negative,0.16908640309147593,0.16908640309147593,Negative,0.16908640309147593
236,24,1,[['SPACY:POS-NUM']],Fifty,1,1.182645880085895,Positive,1.0254628714272496,1.182645880085895,Positive,1.0254628714272496,3,1.182645880085895,Positive,1.182645880085895,1.182645880085895,Positive,1.182645880085895
237,24,3,"[['SPACY:POS-PUNCT'], ['SPACY:POS-NUM']]",? Fifty,2,0.6131063978076532,Positive,0.4310598426866714,0.6131063978076532,Positive,0.4310598426866714,2,0.6131063978076532,Positive,1.2044293378506006,0.6131063978076532,Positive,1.2044293378506006
238,24,11,"[['SPACY:POS-NUM'], ['SPACY:POS-PUNCT']]",Fifty ?,2,0.40619629622433506,Negative,0.5882428513453168,0.40619629622433506,Negative,0.5882428513453168,2,0.40619629622433506,Negative,-0.18512664381861244,-0.40619629622433506,Positive,0.18512664381861244
239,24,72,[['SPACY:POS-ADP']],for,1,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396,1,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396
240,24,87,"[['SPACY:POS-PUNCT'], ['SPACY:POS-NUM'], ['SPACY:POS-PUNCT']]",? Fifty ?,3,0.3640931102419636,Negative,0.3640931102419636,0.3640931102419636,Negative,0.3640931102419636,1,0.3640931102419636,Negative,-1.0254628714272493,-0.3640931102419636,Positive,1.0254628714272496
273,27,8,"[['SPACY:POS-NOUN'], ['SPACY:POS-PROPN']]",march el,2,0.0678297442936125,Negative,-0.13411914338859793,-0.0678297442936125,Positive,0.13411914338859793,2,0.0678297442936125,Negative,-0.39393970627836883,-0.0678297442936125,Positive,0.39393970627836883
274,27,10,[['SPACY:POS-PROPN']],el,1,0.9235389011439626,Positive,0.9527576305434515,0.9235389011439626,Positive,0.9527576305434515,3,0.9235389011439626,Positive,0.9235389011439626,0.9235389011439626,Positive,0.9235389011439626
275,27,47,"[['SPACY:POS-NOUN'], ['SPACY:POS-NOUN'], ['SPACY:POS-PROPN']]",end march el,3,0.4038977753644209,Positive,0.4038977753644209,0.4038977753644209,Positive,0.4038977753644209,1,0.4038977753644209,Positive,1.0834664027054917,0.4038977753644209,Positive,1.0834664027054919
276,27,69,"[['SPACY:POS-ADP'], ['SPACY:POS-PROPN']]",of el,2,0.20980082797821806,Negative,0.20980082797821806,0.20980082797821806,Negative,0.20980082797821806,1,0.20980082797821806,Negative,-0.448260904928083,-0.20980082797821806,Positive,0.448260904928083
277,27,72,[['SPACY:POS-ADP']],till,1,0.3925845646686396,Positive,0.6035844122101399,0.3925845646686396,Positive,0.6035844122101399,2,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396
278,27,75,"[['SPACY:POS-NOUN'], ['SPACY:POS-NOUN']]",end march,1,0.2856289210627021,Positive,0.4875778087449125,0.2856289210627021,Positive,0.4875778087449125,2,0.2856289210627021,Positive,0.2856289210627021,0.2856289210627021,Positive,0.2856289210627021
279,27,99,"[['SPACY:POS-NOUN'], ['SPACY:POS-ADP']]",end of,2,0.3159002615306093,Positive,0.3159002615306093,0.3159002615306093,Positive,0.3159002615306093,1,0.3159002615306093,Positive,0.5121925438649291,0.3159002615306093,Positive,0.5121925438649291
296,29,72,[['SPACY:POS-ADP']],like,1,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396,1,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396
304,31,1,[['SPACY:POS-NUM']],4,1,1.182645880085895,Positive,0.966184230535562,1.182645880085895,Positive,0.966184230535562,3,1.182645880085895,Positive,1.182645880085895,1.182645880085895,Positive,1.182645880085895
305,31,4,"[['SPACY:POS-PROPN'], ['SPACY:POS-PROPN']]",B'day Boss,2,1.0984470320493276,Positive,1.1194414111285569,1.0984470320493276,Positive,1.1194414111285569,2,1.0984470320493276,Positive,1.252370182239988,1.0984470320493276,Positive,1.252370182239988
306,31,8,"[['SPACY:POS-NOUN'], ['SPACY:POS-PROPN']]",cabin PA,2,0.0678297442936125,Negative,0.11634543957095067,0.0678297442936125,Negative,0.11634543957095067,2,0.0678297442936125,Negative,-0.08609340589704793,-0.0678297442936125,Positive,0.08609340589704793
307,31,10,[['SPACY:POS-PROPN']],PA,1,0.9235389011439626,Positive,0.8605113078813931,0.9235389011439626,Positive,0.8605113078813931,3,0.9235389011439626,Positive,0.9235389011439626,0.9235389011439626,Positive,0.9235389011439626
308,31,11,"[['SPACY:POS-NUM'], ['SPACY:POS-PUNCT']]",4 .,2,0.40619629622433506,Negative,0.3239200320722536,0.40619629622433506,Negative,0.3239200320722536,2,0.40619629622433506,Negative,-0.18512664381861244,-0.40619629622433506,Positive,0.18512664381861244
309,31,17,"[['SPACY:POS-PUNCT'], ['SPACY:POS-PROPN']]",", B'day",2,0.5654686971195718,Negative,0.5444743180403424,0.5654686971195718,Negative,0.5444743180403424,2,0.5654686971195718,Negative,0.4115455469289114,0.5654686971195718,Negative,0.4115455469289114
310,31,19,"[['SPACY:POS-NUM'], ['SPACY:POS-ADP']]",4 After,2,0.21491676504384122,Positive,0.21491676504384122,0.21491676504384122,Positive,0.21491676504384122,1,0.21491676504384122,Positive,0.9371012266430019,0.21491676504384122,Positive,0.9371012266430019
311,31,21,"[['SPACY:POS-PUNCT'], ['SPACY:POS-PROPN'], ['SPACY:POS-PROPN']]",", B'day Boss",3,0.041988758158458706,Positive,0.041988758158458706,0.041988758158458706,Positive,0.041988758158458706,1,0.041988758158458706,Positive,0.8828133934695352,0.041988758158458706,Positive,0.8828133934695352
312,31,22,"[['SPACY:POS-PROPN'], ['SPACY:POS-PUNCT']]","PA ,",2,0.4994166021573368,Negative,0.547932297434675,0.4994166021573368,Negative,0.547932297434675,2,0.4994166021573368,Negative,0.34549345196667636,0.4994166021573368,Negative,0.34549345196667636
313,31,43,[['LEMMA:!']],!,1,1.1715219087204505,Positive,1.1715219087204505,1.1715219087204505,Positive,1.1715219087204505,1,1.1715219087204505,Positive,1.1715219087204505,1.1715219087204505,Positive,1.1715219087204505
