task_code,patternid_1,group_1,patternid_2,group_2,patternid_3,group_3,patternid_4,group_4,patternid_5,group_5,patternid_6,group_6,patternid_7,group_7,patternid_8,group_8,patternid_9,group_9,patternid_10,group_10
spam,62,to,25,TXT to; DOUBLE on; Dictionary 3)Cover; da ge; WILD to,90,number; record; TITLE; request; fact,67,? With 200; ? to 69855; ! to 86021; . If 3; ; to 2,40,prescripiton to; trip to; tones to; regards to; response to,58,. Call 09094646631; . Call 09050003091; . Call 08001950382; . Call 0800; . call 09061209465,88,to,7,87066 TsCs; 1 PushButton; 4 bx420-ip4; 09064018838 NTT; 82277 SP,89,Halloween collection nokia; T Mobile customer; GIRL R U; Okie Ã¼ wan; Spain hav sum,21,". HG Suite342/2Lands; . BIRD ANTELOPE; . SP Tyrone; , Â£500 Cash; , U Brilliant"
spam,45,Reference .; Ryder .; GUARANTEED .; address.u'll .; Mobile .,83,". to 86688; , to 09058099801; ? to 80062; ) to 83383; . To 08719181259",91,"82324 . 08706091795; 1405 , 1680; 08712405022 , 1x150p; 1 . 2; 86688 ! 150p",41,Mobile; mobile; mobiles,19,10 until; 2003 for; 2day ur; 6 If; 4 ur,63,sum1 Hurts; all Chat; a Â£800; A PARTY; all Callers,42,comp to; Today to; companies to; place to; stand to,82,! 2003; ! 150p; ! 0871; ! 2004,84,""" ENUFCREDEIT TOCALL.SHALL ILEAVE; ! Holiday Worth Â£350; ! T Cs SavaMob; . Claim Code K52; : NEW NOKIA6600 Mobile",61,. Txt Tone; . T&C BOX139; . Usher Britney; . SAE Box326; . MFL PO
spam,31,. care 07821230901; ! GO 83600; . Call 09050090044; . reply 4info; * UP 300,43,!,97,08719899229 Identifier :; 7 Langport .; 82277 SP :; 3 GBP !; 8 lb .,17,"! Account; . Gud; . XoXo; , Bt; u Vry",30,call 07099833605 -; Call 09064018838 .; Call 09071517866 !; call 08712460324 (; Call 08715203649 :,27,81151 get; in.our will; 150ppm vary; 4882 are; 800 redeemed,44,. MobileUpd8; . ps3; . Itna; . U; . Ahmad,73,SiPix Digital Camera 09061221061; T&Cs SAE PO 177; NTT Ltd PO 1327; Bonus Caller Prize 02/06/03; WORK HEY CAREFUL 2,96,"relation Gud ); prize GUARANTEED .; Titles GHOST ,; A. Bob ,; ard Ya ,",99,camera with; SMS ac; someone to; day if; care of
spam,87,. 09061701939 .; . 09064018838 .; ( 5 ); . 09065174042 .; . 150p .,36,"! 2stoptxt T&Cs; ? 600 network; , 10 K; . One slice; ! 09061743806 landline",55,awarded Bonus; FREE Reply; won Nokia; Beautiful Truth; Worth Â£350,57,guaranteed Nokia Phone; send FREE SMS; contact Txt CHAT; FEEL SAME LETS; send STOP SAM,47,cash await SAE; mobile G Videophones; holiday await T; customer service PREMIER; chance orig Arcade,81,14thMarch T&C apply; 008704050406 SP Arrow; 150p Msg rcvd; 36504 W45WQ norm150p; 2 U Care,38,message call; Reply Call; claim call; ones call; meet Call,92,call 09061209465; call 09061743810; call 08718730666; call 09061213237,56,mt Pete xx; user ID 1172; mah Juz 2; TnCs Ldew.com 1; VIP Tickets 2,79,prize
spam,4,Triple Echo; PLUS TONE; Ur HMV; Aiyar u; Text Messages,39,claim,5,Call 08714714011; Call 09058094565; call 08002988890; call 08081263000; call 09050002311,46,tkts EURO2004 CUP; â€ ¦ Expecting; u Happy New; camera Half Price; cash SAE T&Cs,24,Text to 69969; Mobile Upd8 08000839402; Delivered With 200; TXT to 80878; MAT to 87021,77,award Call; Time calls; acc details; phone details; prize word,52,"139 , 2WU; 2,Police . 3,Wife; 4 . REPLY; 30 ? Ring; 08704439680 . quote",28,txting; Txt; txt,33,+; /; #,9,to 86688; to 85069; to 87066; to 8007; to sd
spam,34,Free; FREE; free,50,to 84128 .; to 8007 :; to 864233 .; to sd .; to 85069 .,59,entry 2; Reply 08000930705; reply 4info; Call 09061104276,48,High Street if; LUV OVERDOSE OF; URSELF Bcoz ur; Mobile Update on; C Colin in,72,for; at; For; In; to,70,Â£1000 To; Text to; Txt to; K to,37,"? U 2; ! Box 150ppm; , FRIEND 4U; . SONY 4; , GIRL 18",18,REVEAL who; U R; GBP week; Tee hee; Prepare next:-,86,.. sometext; . Things; : Someone; . hockey; ' THNQ,78,", to; 0A$NETWORKS to; ! To; ... to; . To"
spam,75,way moms; account number; nyc audiitions; chat line; money steve,23,ME IM FUCKING; POBOX LA3 2WU; Ryder unsold.now gibbs; Dogging Network GRAVEL; Reason U r,53,WIN; won; win,26,T&Cs . 20M12AQ; W1J6HL . 18; Game . 0; Orange . 1; M. . 08719899230,80,Â£900 . Call; Videophones . call; UR - call; Bluetooth ! Call; FreeMsg : CALL,98,. Unsub; . aft; . Spl; . TCs; . txtX,32,is FRIENDSHIP; did Kids; dun da; await T&Cs; Call Germany,13,Transaction ID KR; INDYAROCKS.COM FREE SMS; Holiday Worth Â£350; HG Suite342/2Lands Row; Reply YES-434 NO-434,64,STORE 88039 SkilGme; Space 4 chance; Nokia 4 mob; POLY 8007 eg; MobileUpd8 08001950382 Call2OptOut/674,93,Digital call; S.I.M. Call; PREMIER Call; UR call; Orange Call
spam,76,call; Call; warranty; Offer; questions,51,Last Chance; last Patrick; Dear Voucher; mobile Txt; my God,68,calling 4 something; call 09061209465 C; call 09061221061 landline; Call 4 chat; call 08081263000 charges,29,STU WOT 2.IM; POLYPHONIC tone 4; SK3 ppm 18; Callers Press 9; T&Cs award 20M12AQ,54,2 easy; one breadstick; 87131 your; 9 your; 16 Close,16,call; Call; called,3,", 07099833605; .. urgent.but; : 80488; ? 2)Untamed; . 40",15,4 one; 25 18; 49557 26/11/04; 2moro xx; 1405 1680,10,God; Free; EURO2004; da; New,60,"Sir , Al; LUV ! OVERDOSE; Guai ... Ãœ; Thurs , Fri; SP : Tyrone"
spam,6,on 07090201529; with 500; on 09065171142-stopsms-08718727870150ppm; by 9; on 10/06/03,2,Pound 2; Camera 09061221066; RED ONE; Phone 40; Call 08000930705,74,"to 81618 ,; on 1/08/03 !; at seven .; at 5ish .; to 83355 !",85,BIDS 10; entry 2; call 09058094565; Call 08715203677; offer 750,49,"Â£350 ! Dial; I. . Call; Jus , what; Sender : Name; Ho - belly",65,BIRD ANTELOPE BEGIN; Croydon CR9 is; Truth Gravity Read; Statement XXXXXX shows; Rental Camcorder call,22,Raji ..; john lennon; ABTA *; STOP .; UR !,20,Our 2; other 150p; extra 08702840625; Italian one; Double 1/2,71,discount; rates; Bonus; Rate,1,5.15pm; 2003; 2; 151; 80608
spam,35,"7 , Langport; 800 - S.; 82277 . SP",69,in yo; IN NEWQUAY; in google; for Airtel; at Miss,8,STOP CustomerCare; place Feb; trip Ptbo; b4 Thursday; babe Gary,11,786 .; 11mths ?; 09061213237 .; 2 .,12,collection Call 09050090044; information user 0789xxxxxxx; haf ard 10; goal margin 78; content call 08717509990,100,". 1 Sugababes; ; 4 U.; . 1,His Police; , 1146 MK45; , 1327 Croydon",95,Luv xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA; Txt 1/2 Linerental; New 3510i Colour; May 2005 Text; Tickets 2 C,14,. 4; . 28days; . 2; . One; . 08718738001,94,call from; Call on; call to; Call after; call on,66,WON 4 *; Caller 10/06/03 !; Caller 02/06/03 !; LA32WU 16 .; CHAT 86688 !
spam,33,$; +; /; #,45,UK .; Pound .; C. .; Gud .; Ptbo .,63,the Karaoke; a UKP>2000; the WRC; a dippeditinaDEW; the Rakhesh,100,". 2End STOP; . 1,His Police; ! 09061749602 Landline; . 1 Nokia; . 2 Jada",11,yay !; 800 -; 2 ?; 7250i .; 2 .,7,18 T&C; 3510i Colour; 150p Msg; 2003 Account; 2 IM,35,2005 . Text; 69888 ! Nyt; 800 - S.; 09061701461 . KL341; 28days . T,59,Identifier 45239; offer 750; entry 2; calls 5,30,call 087104711148 !; Call 09065174042 .; call 09066612661 .; Call 09066368753 !; Call 09061790125 .,31,". care 07821230901; , thk 4; .. sry 2; - balance 500; ! SHOP 85023"
spam,54,2 easy; 0870 national; 2 suntec; 2 infernal; 16 Close,91,"2 . 8.Neighbour; 08719899229 : 40411; 08715705022 , 1x150p; 08000407165 ( 18; 18 . 150p",2,"U 750; Tenerife Â£10,000; GUARANTEED 09058094565; TXT 80160; NOW 09061702893",83,"! to 83600; "" to 85069; , to 80062; . to 69696; ) to 83383",13,Rodger Burns MSG; Reply REVEAL STOP; STAR Ibiza Holiday; Aberdeen United Kingdom; LOVE ANNIE X.,40,dealer to; MUSIC to; Iâ€˜m to; polys to; marketing to,62,to,58,. Call 09050003091; . Call 09050000460; . Call 09065174042; . Call 09061701939; . Call 08715203694,21,"; SMILEY SUNDAY; , Â£500 Cash; . Reply HELP; ! Treat pending.i; , Fri Sat",95,PO 5249 MK17; RED ONE BIRD; Jada 3 Kusruthi; JANE xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA; New 3510i Colour
spam,92,call 08719181259; call 09063458130; call 08707808226; call 08707509020; call 09063440451,97,"87066 TsCs ,; 139 LA3 .; 786 Bonus .; 177 M227XY .; 08717898035 Â£3.00 .",28,txt; Txt,17,"... Haha; : Man; , Iam; .. Nan; . Sptv",70,Jordan!Txt to; India to; MOON to; IJUST TO; Ãœ to,60,"Passwords , ATM; Jada . Kusruthi; Haha ... Yup; PEACH ! TASTS; NTT , PO",8,msg Wen; A. Bob; mobile T; R GOT; notifications END,79,Prize; prize; prizes,26,"AfterNoon . 1,His; ShrAcomOrSglSuplt)10 , 3AJ; Xmas ? 09058094583; S.I.M. . 08715203685; GUARANTEED . 09061790125",39,claim; Claim
spam,85,"Call 09050003091; reply 2; Call 0800; AfterNoon 1,His",98,. Respect; . laptop; . TODAY; . dis; . Call,55,free HORO; complementary Tenerife; great India:-; loving Gopalettan; awarded City,16,call; Call,74,by 9 .; to 7 .; at six !; to 86021 .; for 7.30 .,42,attempt to; chennai to; tkts to; pub to; What to,67,- on 09065171142-stopsms-08; . Till 2; ! If one; ; to 2; . Over 18,29,T&Cs CW25WX 150ppm; M. points 08715203649; TXT ACTION 80608; Txt charity 8007; BT Cost 150ppm,14,. 150ppm; . 08718730555; . 526; . 18; . 08718720201,38,movie Call; points Call; prize Call; time call
spam,77,Time calls; dorm account; blessings morning; threats sales; vouchers entry,1,2; 3; 09064015307; 1/2,71,cash; CASH; Bonus,65,Reply YES-434 See; U. Todays shows; Sunshine Hols claim; Sir Al Wahleykkum.sharing; Gift Vouchers starting,48,NIC CHECKIN THAT; SOIREE SPECIALE WITH; Mobile Update on; C Colin in; Reply Toll with,72,IN; for; at; by; while,3,": 26.03.05; ! 800; . 0800; , 1327; , 4*Lux",36,"! 2 prize; : 80488 T&Cs; , 3)Unkempt Text; . 09061790121 land; . 1,His wife",84,": IBHltd LdnW15H 150p; . SAE T&Cs Box334; , Â£500 Cash Travel; . T&Cs www.tkls.com age16; ? Brother Sister Lover",68,call 09053750005 b4; call 08000930705 delivery; Call 08712402050 lines; Call 08001950382 Call2OptOut/674; Call 4 chat
spam,20,liao 2; latest 4; avble 08001950382; PRIVATE 2003,32,copy Callertune; wins SITUATION; awarded CD; is ACCEPT; refilled INR,93,GUARANTEED Call; M. Call; Camcorder call; AWARD call; Free Call,78,? to; . to; ! To; ! to,15,0800 1956669; 88066 Â£12; 3 150ppm; 5249 92H.; five ||,18,Dream Scoring; iPod cash; Callers Press; Tee hee; Uni today,5,Call 08715203656; Call 09071517866; Call 09061104283; Call 0800; call 09065171142-stopsms-08718727870150ppm,94,Call To; Call from; call on; call from,61,. HG Suite342/2Lands; . SP Tyrone; . Reply STOP; . T Cs; . Wtf Poop,10,UR; AGE; Gyno; Â£1000; Slept
spam,66,"BABE 88600 .; GBP 4 .; Caller 1/08/03 !; SkillGame 1Winaweek ,; Text 69866.18 .",81,1 POLYPHONIC tone; 2 GO COLLEGE; 8 lb oz; 750 Pound prize; 84128 Ts&Cs custcare,90,story; number; lessons; video; Identifier,43,!,19,08707509020 per; 81618 per; 10 as; one with; 09066612661 from,12,Spl character 7; photo upload 08718730666; chatter Chat80155 150p; points Call 08719899229; shu shu 4,53,won; Win; win; WIN,88,to,82,! 2u2; ! 2; ! 2004; ! 07946746291/07880867867; ! one,52,7250i . what; 09050090044 . SAE; 2 . home; 150p . CC; 09061790125 . Claim
spam,37,. Nokia/150p 16; ? WOT 2; ! Landline 09064019788; .. Bt 1; . OptOut 08718727870,6,at 8; by 67441233; like 2.U; for 2; until 2,75,thing filthyguys; march ish; frog sound; lt;#&gt k; way moms,69,for Zaher; in yo; of HMV; to Classic; with Half,56,STRIKE RED ONE; user ID 1172; prize GUARANTEED 09058094455; show msg+ticket@kiosk 4; prize GUARANTEED 09050003091,44,. Jada; . Text; . Rgds; . Omg; . Identifier,49,"m8s . charity; yo , dogg; Dload , noline; HEY . R; Chance ! Claim",76,Price; thing; entry; call; question,96,"min BT -; Parents Kidz ,; father John .; Row W1J6HL .; la Kaiez ,",57,Call Identifier Code; have Sinco Payee; opt Reply REVEAL; redeemed S. I.; Tell m8s Txt
spam,51,rael FRIENDSHIP; Good FRIENDS; great Abiola; Good Fancy; longer Syria,25,Gd ur; bb If; Txt to; Sony if; Jerry in,64,"Msg150p 2rcv stop; NICE 2 CATCH; Ibiza Â£10,000 cash; Hanumanji 7 name; Delhi 4 lane",47,boughtÂ”braindanceÂ”a comp.ofstuff aphexÂ; colour camera Free; points Call Identifier; word DRAW TsCs; THING R GOT,99,number out; ear out; inc to; CHANCE ON; Chk in,50,to 08719839835 .; to 84128 .; to 89555 !; to 88600 .; to 8007 .,73,WK Txt STORE 88039; HIYA COMIN BRISTOL 1; NTT Ltd PO 1327; WK Txt STORE 88039.SkilGme; ASAP Box 97N7QP 150ppm,24,Txt to 80082; Account for 07742676969; Movie in 2007; Account for 800; POD to 80182,4,Account Statement; Life ME; GUD MRNG; Truth Gravity; Wot u,9,to 85023; to 2; to 82277; to 29/03/05; To 09071517866
spam,41,mobile,27,2 is; 89080 do; 2 sch; 07801543489 are; 4 Had,80,UR - call; I. . Call; U4 . Call,22,Pound .; AfterNoon .; lb .; Rally ?; da .,87,! 2u2 .; . 09065174042 .; : 80878 .; ! 0871 -; . 150p .,34,FREE; free,89,sir date birth; Haha friend tyler; CHEER FIT SOO; URGENT Mobile No; MISS U BABY,86,", claypot; ? Update; , princess; . U; ; friends",46,Grl Hogolo Boy; Call Identifier Code; information Passwords ATM; luxury Canary Islands; price Linerental Latest,23,Juz google search; Adrian U text; Quiz Starts Unsub; Secret Admirer who; Pink Panther game
spam,66,Ts&Cs 08712405020 .; Feb 06 .; POLY 1 .; Nokia 7250i .; ABTA 4 *,64,"AfterNoon 1,His wife; Nokia 4 mob; Germany 1 pence; GUARANTEED 09061104283 www.smsco.net; Pound 2 claim",97,"4 ORANGE .; 2 Jada .; 750 Pound .; 8007 GHOST ,; 08715203649 Identifier :",94,call at; call if; call from; CALL to,87,"! 150p .; . 09061701851 .; , 2 .; u 2nite ?; , 4got ,",93,M. Call; Txt CALL; Ranjith called; Free Call; Orange Call,52,09061221066 . Delivery; 07099833605 - schedule; 25p ) packs; 08712460324 ( nat; 2 . DontCha,20,free 2; Double 1000; hungry 4; Dear 2; Innocent 5.Terror,21,", AXIS BANK; * Canary Islands; , PO Box; . T&C RSTM; , Fri Sat",74,for 800 -; to 69888 !; to 83355 !; on 27/6/03 .; to 80062 .
spam,24,Update on 08002986906; WAP to 82468; NOK to 87021; TXT to 80878; Text to 85023,61,. T&Cs SAE; . HG Suite342/2Lands; . Sky Gamestar; . Customer Care; . Jada Kusruthi,51,cal Deeraj; your Tenerife; my da; BRAND Nokia; its RV,79,Prize; prize; prizes,78,. to; : to; ! to,14,. 4; . 9; . 1; . 09058094565; . 08000839402,17,": Man; "" julianaland; . ABTA; , Wednesday; u Katexxx",13,Mins Text Orange; Rodger Burns MSG; Motorola SonyEricsson Nokia; Valentines Day Special; Pix Ringtones Games,12,operator claim 0871277810810; chatter Chat80155 150p; funky text 82468; battle G 9; chat line 01223585334,37,". Cust 07821230901; , CALL 09058099801; , FRIEND 4U; . Txt 69888; . Text 69866.18"
spam,89,Videophones R yours; Fancy drink something; Dictionary mode screen; GIRL R U; Yun ubi say,16,call; Call; called,86,. plan; ? cash; - sunday; . html; r Ã¼,29,M. points 08715203694; Mobile freefone 08000839402; SK3 ppm 18; TONE TITLE 8007; BT Cost 150ppm,28,txt; txts,55,Loyalty Offer; fun MSG; wonderful God; Beautiful Truth; Celebrated Reflection,95,Box 18 BT; CALL 09058099801 b4190604; SAE 528 HP20; JANE xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA; T 08717898035 Â£3.00,11,"200 ,; 08709222922 .; 4 ...; 4 .; 2 .",85,Call 08715203656; Reply 08000930705; call 08081263000; answer 5,23,GO BAK COLLEGE; GB iPod cash; Â£200 Summer spree; RITE SARY U; K wat tht
spam,99,night in; place in; yoville on; thanks for; poop like,53,won; Win; win; WON,49,"u , dnt; Boo . things; I. . Call; Luck ! marketing; Sir , day",5,Call 09064011000; call 08000930705; call 08000407165; call 08712103738; Call 09066368753,48,"Â£1,500 Bonus on; Mins Text on; Account Statement for; Age Verify with; Mins Txt on",73,Phone Delivered Tomorrow 200; Australia Text MQUIZ 82277; NTT Ltd PO 1327; SAE T&Cs Box 326; WORK HEY CAREFUL 2,3,.. 1; * two; ! 2; . 09058094455; ! 09066350750,77,"prize Call; charge Offer; Â£2,000 price; place reason; forwarding message",62,to,92,call 09050000301; call 09063458130; call 3mins; call 08712300220; call 08707509020
spam,81,2rcv Hlp stop; 2 Henry scores; 62735=Â£450 UK terms; 150p Msg rcvd; 36504 W45WQ norm150p,67,? With 300; . to 86688; ; before 3; ? to 82277; ! to 85023,35,2 . Jada; 800 - S.; 6.House - Maid; 4 * Tenerife; 2 ) Dictionary,68,Call 09066362206 BOX97N7QP; call 09050002311 b4280703; call 09061221066 landline; call 09061209465 C; call 08709501522 details,56,games Netcollex 08700621170150p; DEFO HARDEST 2; CARD SPOOK 8007; Mystery Gift 09061104283; camcorder Reply 8000930705,27,83370 T's&C; 4 Let; 2 have; one looks; in.our will,57,opt Reply REVEAL; AM GAS STATION; COME TAMPA FFFFUUUUUUU; win GB iPod; want New Nokia,42,word to; MUSIC to; response to; Text to; hours to,45,July .; Callers .; UK .; Sinco .; Â£800 .,9,to 83338; to 80062; to 83110; to 82468; to 8007
spam,47,cash await SAE; yoga lesson Haha; colour camera Free; TIME U WRKIN; What Today sunday,71,cash; PAY; Cash; Bonus; CASH,83,! To 09071517866; ? to 62468; : to 83370; . to 69696; ? to 82277,80,Santa ? Call; I. . Call; Videophones . call; GUARANTEED . Call; da . call,40,GO to; num to; tones to; ans to; CARD to,76,answers; lesson; Offer; ad; Update,60,"NTT , PO; RED . BIRD; LUV ! OVERDOSE; SP : Tyrone",46,YEST QUITE FUNNY; lt;#&gt E Twiggs; eg TONE DRACULA; week No1 Nokia; cash SAE T&Cs,63,no God; a Jenxxx; this Spiral; No de.am; a Gift,82,! 150p; ! 2-u; ! 4; ! 2003
spam,18,Uncle G; Content video; Ard lor; Â£1000 winner; ME FUCKING,38,mobiles Call; who call; prize call; meet Call; match call,70,TXT to; Sac to; Txt to; Ãœ to; U to,75,Oranges colour; contact U; information user; lt;#&gt inches; renewal Pin,10,URGENT; FREE; Da; NTT; Mr.,41,mobile,7,86021 HG; 4 bx420-ip4; 2003 Account; two Damn; 4mths Orange,39,claim; Claim,96,"min BT -; lt;#&gt January ..; THATÂ ALRITE ,; camera Free !; text POLYS """,50,to 69101 .; to 3 .; to 85023 !; to 69696 !; to 8552 .
spam,72,on; like; after; than; cuz,26,"GUARANTEED . 09058094565; AfterNoon . 1,His; Digital ! 09061221066; M. . 08719899229; UK , 113",22,"Haiz ...; Txt ); Tunde ,; Hmmmm ?; da .",8,BABY C; Meet+Greet Westlife; name Gud; jazz Yogasana; landline PoBox1,32,URFEELING LUV; DOIN WOT; call National; got Ubi; payed Suganya,43,!,91,150ppm . 16; 2 . ||; 177 . 16; 8552 . 2End; 150 . 09064018838,54,09061221066 fromm; 89105 Its; One best; 09095350301 our; 2 smth,19,09061790126 from; 88877>FREE into; 2003 for; 2 over; 2 on,59,Identifier 41685; Call 09064018838; Identifier 40533; Identifier 42478; Reply 08000930705
