task_code,phraseid_1,phrase_1,phraseid_2,phrase_2,phraseid_3,phrase_3,phraseid_4,phrase_4,phraseid_5,phrase_5,phraseid_6,phrase_6,phraseid_7,phrase_7,phraseid_8,phrase_8,phraseid_9,phrase_9,phraseid_10,phrase_10,phraseid_11,phrase_11,phraseid_12,phrase_12,phraseid_13,phrase_13,phraseid_14,phrase_14,phraseid_15,phrase_15,phraseid_16,phrase_16,phraseid_17,phrase_17,phraseid_18,phrase_18,phraseid_19,phrase_19,phraseid_20,phrase_20
spam,2871,9,2831,1/2price 500,523,u c,1564,MMM ... Fuck,2584,Ambrith ..,749,FreeMsg :,881,Aiyah tok,953,FRND 62468,2744,. PORTIONS,2805,. 4 Chef,710,abt e,141,min Polo 373,776,mobile 100,388,finish call,496,2 send,1235,called,538,Howz r,1413,deal:- care,191,Cheer No Tear,2925,min Polo Ltd
spam,2879,Rose water season,2681,4 real,946,- DOUBLE,1611,80488 .,2112,Thanx everything,2611,WIN,324,two 'll,678,in 4 ...,843,tkts May 2005,114,wiskey Brandy,58,12mths linerental,1554,S. I. M.,924,... care,973,sitter kaitlyn,1553,lt;#&gt inches,1882,", PROBPOP CU",2574,5 per,2142,points Call Identifier,2115,on 09065394973,124,Ya than
spam,1768,NOKIA,2407,c lor,2496,Dude while,1994,? Dat,2526,Iâ€˜m to,1572,u. Thanx,1017,money than,2250,been Valentine,1796,"after 9 ,",880,Amrita .,2445,truth Expression,2599,cruise CASH,747,food place,884,message Zogtorius .,1677,friend in,2082,2waxsto,1516,friend Companion,1861,Tyler (,734,Ya one,836,hopes with
spam,1163,Mobiles 2004,1728,"1/2price , 500",2571,4 ?,2263,GRAN AFEW DAYS,111,what problem,439,"9 ,",556,Xmas,1435,AFEW AGO.CUSOON HONI,1446,airport road,1886,BILL 3,640,Reply 4,1527,4 * Costa,233,Provided tones2you.co.uk,1699,DOUBLE Mins,1814,call 08000930705,914,love U.,1185,. 13/4/04,1654,Gud,2586,09066362231 URGENT !,1795,question(std rate)T&C apply
spam,2953,one ends,2374,home to,62,Pest exterminator lt;#&gt,2904,. to,1877,"6days , TsandCs",2500,150p . Netcollex,1835,31 December,944,. Identifier Code,1601,Okey iâ€˜ll,2207,T,118,Call 09050090044 toClaim,1013,", HEART",1342,4.50 your,2555,WALES kinda,1046,Chat,2527,GIV SHIT BAILIFF,2187,chance claim,1812,FREE TAROT,1421,trueÂ¡C C RingtoneÂ,1798,Thanks honey
spam,736,bout,2653,Guild,2822,K call,1951,New colour,2043,havn't for,697,jealous million,1885,TsandCs Reply HL 4,583,. Call 09058094454,2690,T .,1644,Netcollex per,1418,"Free , Msgs",1526,121,614,Happy,1755,Identifier 42810 Expires,2294,130 . Iriver,518,8714714 UR,456,. text,1902,did Kids,419,Cheer Tear,2702,persons story
spam,1106,TELLMISS IM,1466,call 09061743386,824,the Crab,2460,one as,1197,B,1166,. Lets,716,ENG . Box39822,2650,Landline DATEBox1282EssexCM61XN 150p,2784,attending da,2776,61610,2303,number,1647,150p,1911,Lul gettin,274,", what",1392,", today",2302,. Call 09050090044,35,Crying Baby Great,1871,weed week,2758,", zac",2345,Lemme
spam,2123,""" woah",117,night if,610,Netcollex Ltd,1242,trueÂ¡C RingtoneÂ,746,Haha,461,ones Gud ),2415,"Damn , zac",2841,"SAE TC ,",2241,? XX,799,HAVENTCN IN,1856,K.k:)apo,2507,Huh ... Dat,2305,- advice,1597,U Near,591,... Fuck Merry Christmas,1429,MMM ...,2740,* pub,2227,chest abdomen,2559,airport evening,606,3510i DeliveredTomorrow ?
spam,2717,ASKED 3MOBILE,1583,on 08000839402 !,733,! 09061221066,2640,FA Cup tkts,528,! Fancy,2714,I. .,868,4 Chef .,2412,... Y,2426,weâ€˜re bâ€˜ham,656,: 86888,1876,"Mobiles ,",2265,2 ...,86,ONLYFOUND AFEW AGO.CUSOON,2334,08712466669 10p,457,home work,2163,To,1732,. 500 text,512,. 16,1816,. number,1250,bus way
spam,837,i.ll,2288,birthday feb,631,thanks for,670,AGES ME IF,298,86888,2742,Touch night,2397,- to 85023,933,alive Gud,852,wan for,1150,yo ass,2537,4 Call,1618,Â£750 prize 2,221,Brandy,2009,Holby,1441,08001950382 call,2958,2morrow,2276,Costa Del,963,4thNOV.BEHIND OURBACKS,487,march el,2033,. Txt 88039
spam,378,for 6hrs .,477,? 300 minutes,630,text to,112,! 1,168,As,1560,Wanna who,455,GOT . 3,178,sim archive Haiz,2422,Dude .,150,WON As,1512,"Princess ,",1478,'m Google,2455,one for,2141,stuff,2605,per,2587,T 08717898035 Â£3.00,2534,r model,1690,Ltd. 1013 IG11,2579,- who,2664,SERVs SED L8ER
spam,938,. banks,360,crab on,1635,FreeMsg Fancy,1506,Pound . claim,68,Zogtorius IÂ’ve,996,", 087187272008 !",834,cine lor Dun,1071,pain to,133,Account for,571,S. I. points,1563,", blimey",592,EY !,728,150p 18,363,Merry to,2872,Ma head,1310,MobileUpd8 08000839402,1674,monday,463,. 28,668,trueÂ¡C C,1181,story Man
spam,751,v,1109,kiss to,497,Taka,2667,630 Got,2764,receiptsâ€”well,1459,. call 09061743386,1139,HI IM,307,company name,2613,month approaches,801,09061221066 fromm,2910,my London,1707,Identifier 42810,1113,. bday,620,pic re,258,cinema for,1555,88039 . SkilGme,1217,08700621170150p msg,2335,FREE Bluetooth,2916,0870 INCLU,675,after 9
spam,142,Free Games,354,Mins 1000 Txt,2846,80488,1208,Gimme,965,person who,2790,4BREKKIE,2782,txt X,742,BAHAMAS CallFREEFONE,1484,what thinkin,2687,CHATLINES INCLU,1709,call 09061209465,1594,08717898035 . Â£3.00,42,prize if,1740,at 10p,2959,Huh,367,creative Neva,2748,what Somebody,1724,wrks with,1783,Ya tel,2675,I. points Call
spam,2845,. GOD,2631,2 weekly,603,tkts May .,1968,! Account Statement,529,v wet,362,L8ER GOT .,1001,north carolina,2827,Ãœ,2730,2 4,888,Wat,539,Account Statement for,1531,- week,1364,thk,2442,one 's,1621,Neva,975,. nothing,2226,EY,2248,Txt CHAT to,1683,? time,1820,. OptOut
spam,2128,Crazy,1651,lt;#&gt times,1255,part oredi,2398,class pm,1960,. Neva,1070,sitter for,238,! What,167,reach Pl,865,DOUBLE Mins DOUBLE,2612,", PROBPOP CU SATTHEN",2137,number to,428,probs hon,2600,. Musta,2949,83021,648,Heart without,767,- KIng Pro Video,2735,imma cause,1842,", 6days ,",1149,'s Thanx,1834,Every King
spam,507,LOVE 07123456789,2936,week b'day,2490,colour phone DeliveredTomorrow,1591,jocks calling,1684,reward hours,1653,night r,2111,U AGES ..,2331,BABE IM,2826,"Rose ,",1083,. Text FA,2825,Â£100 High,1483,"Urgh , coach",2882,. 2morrow !,1206,mobile,105,one of,2470,PORTIONS ME,570,. Â£3.00 Sub,2761,T 08717898035,2722,SATTHEN ! LOVE,806,bonus
spam,1685,of million,303,numbers on,1752,Helloooo,2930,work call,320,befor,2222,tat vid,2316,1/2price,1301,. Teresa,406,shade stuff,2258,2waxsto do,375,08712466669 at,489,... 630 oredi,2428,Happy !,1631,Amrita college,1954,Omg,1442,13/4/04 .,600,EY DOWNON THEACUSATIONS,294,! 09066362231 !,1388,... Ã¼,2791,84199 Opt -
spam,2480,: Rajitha,1802,VIA,1416,contact with,755,WON,2665,""" GUD MRNG",2325,", B'day Boss",566,. Delivery,1750,Moby .,123,Congratulations to,1176,be Club,773,LOVE MUM,237,tmr meet 930,519,FreeMsg : Fancy,1891,everybody around,997,TONE to,2797,two ?,939,Dear Helen of,1159,ones Gud,1864,"Haha ,",649,B'tooth*. Call
spam,1932,Wewa 130 .,1599,class with,2939,sch Yar,2503,leg Musta,2383,U've to,1660,exam march,1533,Ãœ da talks,2072,GOTMARRIED 4thNOV.BEHIND FUCKINNICE!SELFISH,2832,NEW DOUBLE,2075,NIGHT THANKS,982,. INDIA,2804,09058094454,1959,GUD .,1275,8714714,331,Offer,1942,) two .,762,site for,309,Tuesday .,1807,Rajitha Raj,310,IF 0870
spam,1035,flag on,705,? year,1303,morning princess Happy,2211,- to,2678,. Who,2844,BLOOD.Send to,2684,surfing lor,1247,things at,71,Be Touch,2749,Â£750 Pound prize,609,sux snake,429,08700621170150p reply,1375,087187272008 NOW1,666,Free,427,16 ! 3,1927,2 . gravy,2615,paypal Voila,1319,tmr at,192,u who,7,tkts 21st May
spam,1061,18 150p,958,Wot,1136,- 09058094597,2708,BABE PROBPOP,282,Call 08717507382 !,855,HMM,2296,! 09066362231,2813,coins to,1248,OptOut STOP Help08714742804,2550,na Google,2379,your 3,2719,a GUARANTEED,896,.. mail,1944,"from 2004 ,",44,waitin to,680,story of,1777,. X,2199,points Call 08715203652,1805,call if,2027,messages
spam,53,story Man -,1044,el,2078,4 Costa,2191,", ryan",1619,S:)no competition,1005,Babe ! What,1673,87077 ! TxtNO,2598,50 ...,584,Rose,1652,at Guild,253,big hundred.he,1264,dokey iâ€˜ll,1931,wml?id=820554ad0a1705572711&first trueÂ¡C,264,there-- greece,2656,Text to,55,to 85023,2917,* face,2016,Two,955,service Msgs,1219,upon
spam,2807,.. whr,1112,ones Gud Ni8;-,15,. mobile,184,fees,2277,Imprtant r,2924,. self,2731,"07xxxxxxxxx Â£2,000",2928,wot to,1722,On,1372,? With 300,2243,prize to,2179,either Bahamas,414,two ! Dad,2152,ni8 dreams,676,year pass,645,! T&Cs,1978,yo valentine,2223,type of,704,. photos,662,phone with
spam,2391,4 driving,1733,High prize,810,Txt NOKIA No,1598,. Netcollex,1322,2 . OptOut,840,.. Gud Ni8;-,2566,Taka .,873,awarded SiPix,1892,Woodland .,1491,. PORTIONS 4,1037,Â£2000 GUARANTEED,1672,Polo Ltd Suite,6,mc,2787,? Aiyah 2,2524,to one,1213,Pound prize claim,1193,? tok,2589,taxi C,688,"FUCKINNICE!SELFISH , IÂ’L",1495,Identifier
spam,2703,SIX win,175,J .,1692,ur 2,2371,130 255,1922,one ...,1544,to 88039 .,2898,"FUCKINNICE!SELFISH ,",1086,what cause,104,CHA,2698,Nah,36,- u,558,ass to,1625,toClaim SAE TC,1727,IM TELLMISS IM,2833,Dad,1938,4BREKKIE JEN,1177,Vegas in,2733,! Txt,2217,in bâ€˜ham,1957,Update_Now Xmas
spam,2796,Gud night,70,customer services 09065989182,2881,HI DARLIN,787,THATMUM 4thNOV.BEHIND Â–,1438,WON Xmas,1964,valid December,1499,for three,2889,TAROT TEXTS,2606,DONÂ’T ME,1535,with,50,Â£200 spree,1072,09061221066 . Delivery,2290,AFEW DAYS,1469,... Woodland,92,call 09065989182 .,21,2 . 2morrow,1656,: Rajitha Raj,930,Celebrations swing,1168,SEE U TOMORROW,2481,won Â£750
spam,1636,doesn\'t on,2255,ADAM to,1528,", 500",970,if,597,SIX,1751,BABE HOME,1949,! 4 *,2259,X49 .,1983,Mark 2 !,1700,entry in,2767,spree WK,1431,NEFT Transaction,2417,bit run,743,373 6HL,371,Friends that,2224,0800 0721072,1232,3 TAROT,1027,Dude sux snake,782,letter B,514,Camcorder reply 08000930705
spam,1711,""" EY CALM",1014,to 87066,131,you've money,2818,! text,1609,in california,2081,. text 61610,2724,6hrs .,2433,Dat,2291,. 3030 .,8,necklace as,1222,FA,273,cricket ground Gimme,1691,time Ã¼,418,ENG .,1365,type,1,", problem",2015,yuou on,478,) Dear Helen,485,credits www.ringtoneking.co.uk,719,Cheap Chat
spam,916,type stuff,639,problem,1200,Camera 09061221066,2212,mom fun,2763,... mind,256,for,1059,without Mind,126,into,202,Netcollex Ltd 08700621170150p,1712,As Vodafone,1398,4,2012,widelive.com/index wml?id=820554ad0a1705572711&first trueÂ¡C,332,HEART WITH,1065,1000 Txt .,1403,Txt to 86688,2396,SHIT,1810,- mins&100txt,1704,wedding in,2829,087187272008 NOW1 10p,169,attempt to
spam,56,the Zogtorius,1287,CU SATTHEN HUNNY 4BREKKIE,1359,movies as,1596,CALL to,2809,way to,1260,"TheDailyDraw Dear ,",2198,. to 61610,949,Ãœ da,2313,lyricalladie(21/F ),2666,. scratches,90,Each Moment,1646,. PSXTRA 4,1316,need to,553,09066362231 !,1726,to London,383,800 redeemed,764,WITH,1062,bonus caller 02/06/03,505,", Night",2923,movies laptop
spam,391,! Text,990,company In,927,Suprman Matrix3,723,want Tuesday,547,FA Cup,2634,"URE ,",709,week end,431,Text FA to,355,? Aiyah,1785,Chachi calling,2770,3510i DeliveredTomorrow,1975,good to,2785,; times,2672,Taka lor,550,new Duchess,772,.. nyt,554,Touch .,2317,wrks wot,1912,Mind,2130,Vodafone customer computer
spam,1962,Howz persons,110,) Dear,1493,been XCHAT,2546,"1/2price ,",1265,final May,789,Dear . Gud,966,... to,936,call 09061221066 .,869,Detroit,654,credit,1454,2 for,1830,BAHAMAS ! CallFREEFONE,1860,Thanx 4 everything,1332,A BEAUTIFUL,1266,lt;#&gt mins,2218,MOBNO eg LOVE 07123456789,2225,"Urgh ,",1965,""" UAWAKE?FEELLIKW",222,- 2 names,329,2 stop
spam,2387,in 2,2452,Update_Now Xmas Offer,849,Great Building Was,2525,087187272008 NOW1 !,2707,member T Cs,2502,URGENT !,1627,off,994,housing agency,1129,magazine telephone,220,call 08701237397,1946,cause to,847,Call,2330,KIng Pro Club,2927,No Neva,1571,from Netcollex,1102,"aid Usmle ,",1214,chennai for,272,a Darren,1543,in 20,913,money issue
spam,1771,. weather,173,call 08712460324(nat ),2773,lecturer weeks,38,our ex,2160,who Duchess,1462,. Msgs,812,billed Netcollex,2038,times night,144,ALETTER THATMUM GOTMARRIED,1838,EY ! DOWNON,1422,friend Reply,2386,aid Usmle,2066,Congrats year,2609,ads,125,Armand,1869,", things",1002,one Make,479,after,1133,4 ur,2948,entry 2
spam,713,apply Reply,2516,Organizer lt;#&gt,2005,DeliveredTomorrow ? 300,1352,Aiyah tok u,2010,Y dat one,768,. membership,2094,STOP to,2540,TsandCs,1007,.. 2morrow,2568,T Cs Â£3.00,2181,results,1701,Goto mymoby,1042,placement Amrita,1423,Ambrith madurai,163,1 special,312,pints carlin,1943,water dock,372,tkts 21st,1146,Win High,1634,BABE IN
spam,2463,MobileUpd8 on 08000839402,2124,her Reply,690,Costa Del Sol,311,087187272008 ! 10p,2329,? thanks,72,86888 your,2450,? day,2295,Haiyoh ... hamster,1439,slices of,2376,THATÂ’SCOOL PROBPOP,872,Rose water,2588,2 . 3,1237,Haiz ...,2713,rs shelf,344,... man,2688,URGENT ! number,624,UR 2 !,2493,california .,451,of Joy,1867,da:)i of
spam,1224,""" Pete",1588,. John,412,awarded City,468,. trueÂ¡C,917,mobile T,1251,buses on,244,Princess,2671,Double 1000,2694,on 09058094597,1050,R*reveal who,677,Txt to 88039,377,", children",2564,FLAG to,1829,TxtNO ads 150p,2760,Landline DATEBox1282EssexCM61XN 150p 18,1789,Hope day,423,girl in,1167,Motorola SonyEricsson Nokia,2873,. INDIA CUST,422,any receiptsâ€”well
spam,1101,friend until,1108,1000 on,1549,Sol Holiday await,587,4 ...,2951,noun in,321,2 put,1381,two .,2344,from 2004,2817,Call at,1998,6hrs,974,Ãœ gd guys,1386,shit because,438,! 2stoptxt,2726,Wasted Den,2098,. 09061743386,1137,09066362231,1420,rooms cheap:-,2919,cheap:-,2186,for Jay,2765,call 087187272008
spam,1818,part IQ,2933,. Luv,67,a Tuesday,212,T Cs,269,u. Netcollex,2392,huai juan,1756,bâ€˜ham .,1293,to TnC,408,One small,1337,3 TAROT !,2778,. 09061209465,1615,2 with,2105,ten,1474,. Chef,2727,John .,421,call 09058094597,398,the Â£750,1641,in ten ....,1092,truth of,2196,"GOD ,"
spam,753,! Text 85555,1991,. worries,546,one ;,1878,20 ...,1763,eyes philosophy,2824,CALL U,1848,Waaaat ?,471,SED L8ER,17,for 6hrs,1084,pound :),1118,! Hope,739,B'day Boss,831,Babe What,2607,: Fancy,750,08717898035 Â£3.00 .,1797,4 ! bx420-ip4,2149,? 5.30,139,credits,878,who at,2377,deficient three
spam,494,INCLU MINS,1279,C Suprman Matrix3,2912,bx420-ip4 - 5we,1532,Good Morning,2909,calling,1298,Rajitha Ranju,2899,Joy,1977,Â£750,2103,High Street if,612,_ _ Joy,93,colour DeliveredTomorrow ?,759,regards to,2508,Urgh coach,2404,friends with,2405,"Damn ,",2145,ASKED 3MOBILE CHATLINES,180,points Call,2646,sister law,1510,phone DeliveredTomorrow 300,2810,between 2
spam,2007,K.k:)apo k.good movie,297,FOR,842,In,1203,gud ni8,301,Google,685,By,2839,Call from,1488,. BT,1971,Call 08001950382,2429,2 ! 08081560665,1500,FREE MINS,2117,u maga,574,T&C,2560,. gd,2800,- Offer,1229,Cos sis,2327,3030 .,2737,planning to,2823,. 500,1225,WANNA ? XX
spam,1458,"URE , INTELLIGENT",387,NOKIA to,2926,. HAUGHAIGHGTUJHYGUJ,2434,! 08081560665,1999,Congrats kano,1980,Â£3.00 . 16,1333,3MOBILE,2772,question to,342,Day with,2155,Helloooo ...,1489,bâ€˜ham,147,May 2005 Text,602,part of,2292,. Text,2184,Babe !,1391,times per,2311,! bx420-ip4 5we,492,. Call 08000839402,2300,09066362231 Your,1419,HI BABE HOME
spam,1246,Baby Great,285,JEN .,508,"May ,",829,Chachi,1115,a SiPix,352,One,800,two !,393,cal once,2658,da talks,1665,e msg,448,! Wot,2884,. Call,2114,. TC,707,tons coins,2514,chip fat,2779,per BT,616,. Box39822,1448,contact U,1209,Two are,845,Kit Strip have
spam,2736,for 50 ...,2234,argument from,305,time week,770,Starts monday !,2619,2 r,385,! LOVE,116,. claim,1107,. Txt LOVE,1537,Cheer No,1731,games from,2017,"TCs POBox334 ,",1694,CU 4BREKKIE,941,gastroenteritis If,1671,! Chat,647,87066 TnC .,2333,.. meet,2565,plans What,1414,EY DOWNON,1730,Crab :,356,present ar
spam,2875,. warm,2880,in 4,2961,GUARANTEED 09058094454,1393,couple times,1373,FA tkts,2065,! CallFREEFONE 08081560665,1823,x,661,. 09058094454,2025,4thNOV.BEHIND FUCKINNICE!SELFISH,449,of,2384,. P,2385,DOUBLE,2890,member T,1744,collection Call 09050090044,769,VIA ALETTER,2285,Aiyah,2639,. Two,993,free 0800,241,2004 MUST,1498,! monday
spam,2478,Wewa,474,", textin",1362,6hrs If,1236,with 3,299,way London,1819,60p .,1184,awarded City Break,2106,collection Call,2089,GUD nyt,660,latest 4,1440,U LIKE,2430,Xmas ?,2535,2 joined,2101,heart Txt LOVE,741,SiPix ! call,157,Hard 121,999,. 16 .,94,2,37,two Dad,517,pints carlin ten
spam,595,... 630,577,Â£100,430,May . Text,2547,love lt;#&gt,1811,r 2waxsto,1746,. Netcollex Ltd.,1923,HEART BLOOD.Send,959,K.k:)apo .,158,ON,1836,FUCKIN SHOWR,194,call 09061209465 !,1992,. 150p,897,SiPix Digital Camera,2531,slots weekends,2864,8th to,373,week in,54,FLAG,1463,Starts monday,1718,eatin cinema,2523,letter on
spam,617,name STOP,1645,K.k.how business,1485,; min,905,rcvd to,545,447801259231 have,1933,XCHAT .,268,out,2821,Xmas 2,1616,DAYS AGO.CUSOON HONI,366,Dude for,2348,for 800,720,2 know,2488,08081560665 to,33,let U.,1900,London W1J call,531,Cornwall ? Txt,49,Chef .,1048,2 ... Hee,172,PROBPOP CU,284,Men ladies
spam,599,like,341,DEVIOUSBITCH.ANYWAY CALL,2231,bus If,2866,. Soup,12,one tt,120,13/4/04 . Call,1068,Den on,459,wrong one,1410,from,1111,to 87077,279,Offer DOUBLE,1114,to 80488 .,1039,wedding chapel,1764,INTELLIGENT WOMAN LIKE,1569,rights of,28,Cheers message Zogtorius,1926,Text If,1948,10p minute BT,2895,. Two nurses,1915,) Dear Helen Dozens
spam,586,. Gimme,2663,Urgh,1633,. Wife,870,", parents",1546,one .,1505,are SiPix Digital,2868,wit,2869,to 83021 .,2390,gandhipuram to,1790,87575 . 150p,2950,Call Identifier Code,283,Mobiles,2049,. wahala,653,prize To,748,smile to,1030,John John is,1056,T&C at,2883,"Night ,",1628,Cheer Tear U,4,cabin PA
spam,2581,! 2stoptxt T&Cs,785,end of,2173,", 087187272008 NOW1",731,on 08000839402,1227,rooms befor,2860,.. today,2505,Joy father,1648,Don,1022,WK . Txt,2938,Wil .,2830,2 in,976,content text,210,What up,2738,Lover Chef .,2747,... ur 4,696,Soup,384,' doctors,1173,home snow,1286,than tho,263,. trueÂ¡C C
spam,2362,da:)i,961,K,942,smiles frm,2861,_ _,483,. Txt,2686,1,2189,BEAUTIFUL INTELLIGENT,1000,2morrow Take,663,one dunno,313,FLAG 84199,1772,Crazy ar,549,2 e,1670,hairdressers appointment four,1468,beach lor,2610,Txt,226,Landline DATEBox1282EssexCM61XN,2306,w Aiyah,2280,TsandCs Reply HL,1379,to,1570,to 88039
spam,2159,one,2157,. time,2538,SATTHEN !,1574,"Suprman Matrix3 ,",2044,Offer Motorola,2193,? Darren,482,tmr meet,1720,09061743386,740,u hmmross,1984,Ten,950,May .,551,M. Call,2062,no HAUGHAIGHGTUJHYGUJ,1522,09050090044 . SAE,1821,ASKED,928,first Usmle,985,- call 09058094597,1401,man of,1909,NOKIA Motorola,113,textbook intro
spam,794,FREE NOKIA,209,Netcollex Ltd. PO 1013,536,Kit -,151,Win,2802,ads 150p,858,concentration dear,1657,Gud Ni8;-,1765,Costa,2104,comp FA,1784,u 2morrow ..,2716,txt,1929,called in,1300,problems provider,2454,Neva test,2424,Aiyah tok 2,1409,13/4/04 . 08717507382,601,"2004 ,",11,Kids .,1624,"Night , Wish",2647,Man
spam,1847,16 Club,1445,test to,2721,way friendship one,2176,easy 087187272008,1982,TnC,327,.. ONE,1520,Tuesday night,1060,fav Hope,1460,work place,2074,reply today,1518,hours to,1837,Zogtorius,2076,once,683,- DOUBLE Mins,1088,2 go,2268,New Nokia,622,Nickey,781,K text,2592,one loving,1988,. Ãœ
spam,1585,2 ur,1557,day crab,239,"Matrix3 ,",1158,. Call 09094646899,2548,4.50 . tone,565,Update_Now - Offer,1171,! Happy New,1120,u ? time,2594,", X49",1335,Congratulations Thanks,863,TnC . Ldew.com1win150ppmx3age16subscription,1626,AT WANNA DO,700,PROBPOP CU SATTHEN,2669,Cheers message,808,Ãœ gd,330,WALES,2256,", U Wil Reach",2854,colour phone,1737,u Pl,1758,to 87121
spam,2746,on March,589,mymoby to,280,NOKIA with,2353,ur 4,2197,Â£750 .,30,vouchers entry 2,47,dating Msgs,2732,man that,2768,GUARANTEED . Call,1045,LIFT U,559,", telephone",276,job Starts monday,1110,much Ta,931,while,1519,GUARANTEED Call 09058094454,2150,2 between,2614,hundred.he batsman:-,2625,at www.ringtoneking.co.uk,1304,- KIng Pro,1327,2 is
spam,2847,claim,568,"Offer Motorola ,",1402,"DAYS AGO.CUSOON """,2515,GUARANTEED . 09058094454,580,alcohol Jay,390,customer computer,2918,! TxtNO 4,1277,tones2you.co.uk,841,. 2 texts,1881,""" CHA",100,four,1981,M. points 08715203652,1642,! 09061221066 landline,2246,Games - prizesWith,1257,job Starts,2851,Account,771,B LOVE MUM,89,From,1679,Dear Helen Dozens,1566,chances to
spam,1487,FREE,986,+,533,sister to,590,King,1314,A SHIT,2314,Your Costa,2621,sister cookies,1863,Friendship poem,2423,Voila,848,09094646899 Cheap,1952,WANNA ?,1449,. lunch,2332,ENG Box39822,2436,one next,2775,CD gift,1220,morning princess,1858,claims,542,Xmas prize,1558,08715203652 Identifier :,724,Miles smiles
